href,name,cuisine,price_4_two
https://www.swiggy.com/restaurants/new-krishna-sagar-clarke-road-frazer-town-bangalore-445871,New Krishna Sagar,"South Indian, Chinese, Chaat, Juices",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/coffee-santhe-gokula-1st-stage-mathikere-bangalore-387594,COFFEE SANTHE,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/warmoven-cake-and-desserts-millars-road-vasanth-nagar-bangalore-402710,WarmOven Cake & Desserts,"Bakery, Desserts, Ice Cream, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/marwadi-chaat-and-tiffin-services-shanti-nagar-lakshmi-road-shanthi-nagar-bangalore-132622,Marwadi Chaat & Tiffin Services Shanti nagar,"Rajasthani, North Indian, Snacks, Chaat",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/laddoos-2nd-stage-btm-layout-bangalore-352,Laddoos,"North Indian, Chaat, Snacks, Sweets, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/asha-sweet-center-1st-main-road-vasanth-nagar-bangalore-645294,Asha Sweet Center,"Sweets, Desserts",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/juice-junction-st-marks-road-bangalore-4807,Juice Junction,Juices,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/dharmik-veg-pulakeshinagar-frazer-town-bangalore-596794,DHARMIK VEG,"South Indian, Chinese, Fast Food, Snacks",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/udupi-garden-ramaiah-college-stop-mathikere-bangalore-2592,Udupi Garden,"North Indian, Chinese, South Indian, Fast Food",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/namma-kudla-veg-malleswaram-9th-cross-road-malleshwaram-bangalore-302448,Namma kudla Veg  Malleswaram,"Coastal, Konkan, South Indian, Sweets",â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/oru-vadakkan-cafe-5th-block-koramangala-bangalore-224982,Oru Vadakkan Cafe,"Kerala, Biryani, South Indian, Chinese, Seafood, Beverages",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/slv-refereshments-3rd-stage-banashankari-bangalore-396486,SLV Refereshments,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/kapoors-cafe-3rd-block-jayanagar-bangalore-102324,Kapoor's Cafe,North Indian,â‚¹500 FOR TWO
https://www.swiggy.com/restaurants/srivari-cafe-3rd-phase-jp-nagar-bangalore-590938,SriVari Cafe,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/the-hole-in-the-wall-cafe-2nd-stage-indiranagar-bangalore-134975,The Hole in the Wall Cafe,American,â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/nams-express-kitchen-2nd-stage-e-block-rajajinagar-bangalore-363993,Nam's Express Kitchen,"South Indian, Chinese",â‚¹250 FOR TWO
